clmn1,clmn2,clmn3,clmn4,clmn5,clmn6,clmn7,clmn8,clmn9,clmn10,clmn11,clmn12,clmn13,clmn14,clmn15,clmn16,clmn17,clmn18,clmn19,clmn20,clmn21,clmn22,clmn23,clmn24,lbl,Out_num
13,5,5.353465763,587.5,5,3,500.0,425.0,300.0,3.0,600.0,0.02,0,1,0,0,0,1,0,0,0,0,1,0,True,0.00019451245
1,5,1.885696563,525.0,1,2,412.5,462.5,200.0,4.0,600.0,0.025,0,0,0,1,0,1,0,0,0,0,1,0,False,0.0089347434
5,6,1.567378564,500.0,2,6,487.5,337.5,200.0,2.0,300.0,0.035,0,1,0,0,0,0,1,0,0,1,0,0,True,6.760000000000001e-14
6,8,0.380682025,425.0,2,1,375.0,437.5,300.0,2.0,500.0,0.045,0,0,0,1,0,0,0,1,0,0,1,0,False,0.00524138745
9,13,0.578078498,400.0,4,3,612.5,500.0,400.0,2.0,700.0,0.015,1,0,0,0,0,0,0,1,0,0,1,0,True,2.2525e-09
9,11,5.064082954,350.0,1,6,400.0,387.5,200.0,3.0,500.0,0.02,0,0,1,0,0,0,1,0,1,0,0,0,False,0.00810507005
6,1,3.868210856,537.5,3,2,462.5,412.5,300.0,2.0,400.0,0.01,0,0,0,1,0,0,1,0,0,0,0,1,False,0.009595170975
9,0,6.644934764,537.5,2,1,625.0,512.5,400.0,4.0,1000.0,0.005,1,0,0,0,1,0,0,0,0,1,0,0,True,0.0007157811875
4,8,0.22544366,562.5,4,2,625.0,325.0,300.0,1.0,300.0,0.01,0,0,1,0,0,1,0,0,0,0,1,0,True,5.4275e-06
4,11,6.145175882,362.5,1,1,312.5,337.5,300.0,4.0,1000.0,0.015,0,0,1,0,1,0,0,0,0,0,0,1,False,0.02916406975
6,0,1.211763718,487.5,2,1,575.0,550.0,200.0,4.0,600.0,0.005,0,0,0,1,1,0,0,0,0,1,0,0,False,0.0097836403625
2,10,2.301343877,625.0,3,1,612.5,337.5,300.0,4.0,1000.0,0.05,1,0,0,0,0,0,1,0,0,0,0,1,True,4.0455e-07
